StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
str-nexthop_4010-01,Ethernet0,str-nexthop_4010-01,Ethernet8,40000,1681,Access,on
str-nexthop_4010-01,Ethernet4,str-nexthop_4010-01,Ethernet12,40000,1681,Access,on
